ID,Name,Gender,Birthday,Place of Birth
1466,Charles Durning,Male,1923-02-28,"Highland Falls, New York, USA"
4093,Ray Walston,Male,1914-12-02,"New Orleans, Louisiana, USA"
2565,Yves Montand,Male,1921-10-13,"Monsummano Terme, Pistoia, Tuscany, Italy"
2566,Charles Vanel,Male,1892-08-21,"Rennes, Ille-et-Vilaine, France"
2567,Peter van Eyck,Male,1911-07-16,"Steinwehr, Pomerania, Germany [now Kamienny Jaz, Zachodniopomorskie, Poland]"
2568,Folco Lulli,Male,1912-07-03,"Florence, Italy"
37625,Andrew Garfield,Male,1983-08-20,"Los Angeles, California, USA"
65731,Sam Worthington,Male,1976-08-02,"Godalming, Surrey, England, UK"
4937,Vince Vaughn,Male,1970-03-28,"Minneapolis, Minnesota, USA"
972356,Luke Bracey,Male,1989-04-26,Sydney - Australia
20374,Teresa Palmer,Female,1986-02-26,"Adelaide, South Australia, Australia"
920,Jürgen Prochnow,Male,1941-06-10,"Berlin, Germany"
5228,Herbert Grönemeyer,Male,1956-04-12,"Göttingen, Lower Saxony, Germany"
5229,Klaus Wennemann,Male,1940-12-18,"Bad Aibling, Bavière, Germany"
5230,Hubertus Bengsch,Male,1952-07-10,"Berlin, Germany"
4924,Martin Semmelrogge,Male,1955-12-08,"Bad Boll, Germany"
4139,Tom Skerritt,Male,1933-08-25,"Detroit, Michigan, USA"
10205,Sigourney Weaver,Female,1949-10-08,"Manhattan, New York City, New York, USA"
5047,Veronica Cartwright,Female,1949-04-20,"Bristol, England, UK"
5048,Harry Dean Stanton,Male,1926-07-14,"West Irvine, Kentucky, USA"
5049,John Hurt,Male,1940-01-22,"Shirebrook, Derbyshire, England, UK"
5048,Harry Dean Stanton,Male,1926-07-14,"West Irvine, Kentucky, USA"
2630,Nastassja Kinski,Female,1959-01-24,Berlin - Germany
923,Dean Stockwell,Male,1936-03-05,North Hollywood - California - USA
9892,Hunter Carson,Male,1975-12-26,"Los Angeles, California, United States"
9893,Aurore Clément,Female,1945-10-12,"Soissons, Aisne, France"
77498,Lubna Azabal,Female,1973-01-01,"Brussels, Belgium"
84573,Mélissa Désormeaux-Poulin,Female,1981-01-01,"Québec, Canada"
88592,Maxim Gaudette,Male,1974-06-08,"Sherbrooke, Quebec, Canada"
38526,Rémy Girard,Male,1950-08-10,"Jonquière, Quebec, Canada"
55512,Margarita Terekhova,Female,1942-08-25,"Turinsk, USSR"
1090481,Oleg Yankovskiy,Male,1944-02-23,"Bolshoy Dzhezkazgan, USSR [now Zhezkazgan, Kazakhstan]"
1190992,Nikolay Grinko,Male,1920-05-22,"Kherson, USSR (Ukraine)"
13710,Yuriy Nazarov,Male,1937-05-05,"Novosibirsk, USSR (Russia)"
1019,Mads Mikkelsen,Male,1965-11-22,"Copenhagen, Denmark"
1350,Irène Jacob,Female,1966-07-15,"Suresnes, France"
1352,Jean-Louis Trintignant,Male,1930-12-11,"Piolenc, Vaucluse, France"
49025,Samuel Le Bihan,Male,1965-11-02,"Avranches, Francia"
26183,François Leterrier,Male,1929-05-26,"Margny-lès-Compiègne, Oise, Picardie, France"
1905,Vincent Price,Male,1911-05-27,"St. Louis, Missouri, USA"
1260745,Tony Fucile,Male,1964-01-01,"San Francisco, California, USA"
245,Keir Dullea,Male,1936-05-30,"Cleveland, Ohio, USA"
246,Gary Lockwood,Male,1937-02-21,"Van Nuys, California, USA"
247,William Sylvester,Male,1922-01-31,"Oakland, California, USA"
253,Douglas Rain,Male,1928-03-13,"Winnipeg, Manitoba, Canada"
12147,Spencer Tracy,Male,1900-04-05,"Milwaukee, Wisconsin, USA"
13784,Burt Lancaster,Male,1913-11-02,"New York City, New York, USA"
12149,Richard Widmark,Male,1914-12-26,"Sunrise Township, Minnesota, USA"
2896,Marlene Dietrich,Female,1901-12-27,"Schöneberg, Berlin, Germany"
12150,Maximilian Schell,Male,1930-12-08,"Vienna, Austria"
5469,Ralph Fiennes,Male,1962-12-22,"Ipswich, Suffolk, England, UK"
1291350,Tony Revolori,Male,1996-04-28,"Anaheim, California"
1164,F. Murray Abraham,Male,1939-10-24,"Pittsburgh, Pennsylvania, USA"
8789,Mathieu Amalric,Male,1965-10-25,"Neuilly-sur-Seine, Hauts-de-Seine, France"
3490,Adrien Brody,Male,1973-04-14,"New York City, New York, USA"
56830,Brigitte Lin,Female,1954-11-03,"Taipei, Republic of China (Taiwan)"
1337,Tony Leung Chiu-Wai,Male,1962-06-27,Hong Kong
12671,Faye Wong,Female,1969-08-08,"Beijing, China"
43661,Takeshi Kaneshiro,Male,1973-10-11,"Taipei, Taiwan"
1090481,Oleg Yankovskiy,Male,1944-02-23,"Bolshoy Dzhezkazgan, USSR [now Zhezkazgan, Kazakhstan]"
38127,Erland Josephson,Male,1923-06-15,"Stockholm, Stockholms län, Sweden"
9031,Domiziana Giordano,Female,1959-09-04,"Roma, Lazio, Italia"
150826,Laura De Marchi,Female,1936-07-25,"Savona, Italia"
4173,Anthony Hopkins,Male,1937-12-31,"Margam, Port Talbot, Glamorgan, Wales, UK"
5049,John Hurt,Male,1940-01-22,"Shirebrook, Derbyshire, England, UK"
10774,Anne Bancroft,Female,1931-09-17,"Bronx, New York, USA"
11857,John Gielgud,Male,1904-04-14,"South Kensington, London, England, UK"
13325,Wendy Hiller,Female,1912-08-15,"Bramhall, Cheshire, England, UK"
9560,Ellen Burstyn,Female,1932-12-07,"Detroit, Michigan, USA"
7499,Jared Leto,Male,1971-12-26,"Bossier City, Louisiana, USA"
6161,Jennifer Connelly,Female,1970-12-12,"Catskill Mountains, New York, USA"
9562,Marlon Wayans,Male,1972-07-23,"New York City, New York, USA"
4443,Christopher McDonald,Male,1955-02-15,"New York City, New York, USA"
7124,Ray Milland,Male,1907-01-03,"Neath, Glamorgan, Wales, UK"
4070,Grace Kelly,Female,1929-11-12,Philadelphia - Pennsylvania - USA
7125,Robert Cummings,Male,1910-06-10,"Joplin, Missouri, USA"
5182,John Williams,Male,1903-04-15,"Chalfont, Buckinghamshire, England, UK"
7682,Anthony Dawson,Male,1916-10-18,"Edinburgh, Scotland, UK"
18056,Koji Yakusho,Male,1956-01-01,"Isahaya, Japan"
104522,Aoi Miyazaki,Female,1985-11-30,"Tokyo, Japan"
1018944,Shota Sometani,Male,1992-09-03,"Edogawa, Tokyo, Japan"
1454976,Suzu Hirose,Female,1998-06-19,"Shimizu-ku, Shizuoka, Shizuoka, Japan"
52583,Wagner Moura,Male,1976-06-27,"Rodelas, Bahia, Brazil"
52584,Caio Junqueira,Male,1976-11-15,"Rio de Janeiro, Rio de Janeiro, Brasil"
52585,André Ramiro,Male,1981-12-14,"Rio de Janeiro, Rio de Janeiro, Brasil"
52586,Milhem Cortaz,Male,1972-12-06,"São Paulo, São Paulo, Brazil"
469968,Fernanda Machado,Female,1980-10-10,"Maringá, Paraná, Brazil"
1979,Kevin Spacey,Male,1959-07-26,"South Orange, New Jersey, USA"
516,Annette Bening,Female,1958-05-29,"Topeka, Kansas, USA"
2155,Thora Birch,Female,1982-03-11,"Los Angeles, California, USA"
8210,Wes Bentley,Male,1978-09-04,"Jonesboro, Arkansas, USA"
8211,Mena Suvari,Female,1979-02-13,Newport - Rhode Island - USA
66957,Nahuel Pérez Biscayart,Male,1986-03-06,"Buenos Aires, Argentina"
14606,Albert Dupontel,Male,1964-01-11,"Saint-Germain-en-Laye, Yvelines, France"
93532,Laurent Lafitte,Male,1973-08-22,"Paris, France"
17498,Niels Arestrup,Male,1949-02-08,"Montreuil, Seine [now Seine-Saint-Denis], France"
23671,Émilie Dequenne,Female,1981-08-29,"Belœil, Belgique"
206,Jim Carrey,Male,1962-01-17,"Newmarket, Ontario, Canada"
350,Laura Linney,Female,1964-02-05,"New York City, New York, USA"
11315,Noah Emmerich,Male,1965-02-27,New York City - New York - USA
11317,Natascha McElhone,Female,1969-12-14,"Surrey, England, UK"
11318,Holland Taylor,Female,1943-01-14,"Philadelphia, Pennsylvania, U.S."
11523,Georges Méliès,Male,1861-12-08,"Paris, France"
11645,Bleuette Bernon,Female,1878-06-06,Paris - France
854,James Stewart,Male,1908-05-20,"Indiana, Pennsylvania, USA"
14504,John Dall,Male,1918-05-26,"New York City, New York, U.S."
12497,Farley Granger,Male,1925-07-01,"San Jose, California, USA"
17660,Constance Collier,Female,1878-01-22,"Windsor, Berkshire, England"
17661,Douglas Dick,Male,1920-11-20,"Charleston, West Virginia, United States"
5402,Giulietta Masina,Female,1921-02-22,"San Giorgio di Piano, Italy"
27440,François Périer,Male,1919-11-10,"Paris, France"
543085,Franca Marzi,Female,1926-08-18,"Rome, Italy"
31989,Amedeo Nazzari,Male,1907-12-10,"Cagliari, Sardinia, Italy"
6968,Hugh Jackman,Male,1968-10-12,"Sydney, New South Wales, Australia"
1812,Michelle Williams,Female,1980-09-09,"Kalispell, Montana, USA"
29222,Zac Efron,Male,1987-10-18,"San Luis Obispo, California, USA"
505710,Zendaya,Female,1996-09-01,"Oakland, California, USA"
933238,Rebecca Ferguson,Female,1983-10-19,"Stockholm,  Sweden"
18197,Anna Karina,Female,1940-09-22,"Copenhagen, Denmark"
18199,André S. Labarthe,Male,1931-12-18,"Oloron-Sainte-Marie, Francia"
47991,Bob Geldof,Male,1951-10-05,"Dublin, Ireland"
71247,Christine Hargreaves,Female,1939-03-22,"Salford, Lancashire, England, UK"
71248,James Laurenson,Male,1940-02-17,"Marton, New Zealand"
71249,Eleanor David,Female,1956-03-14,"Lincolnshire, England, UK"
10158,Robert Mitchum,Male,1917-08-06,"Bridgeport, Connecticut, USA"
7632,Shelley Winters,Female,1920-08-18,"St. Louis, Missouri, USA"
8828,Lillian Gish,Female,1893-10-14,"Springfield, Ohio, USA"
30537,James Gleason,Male,1882-05-23,"New York City, New York, USA"
40036,Taraji P. Henson,Female,1970-09-11,"Washington, District of Columbia, USA"
6944,Octavia Spencer,Female,1972-05-25,"Montgomery, Alabama, USA"
1005852,Janelle Monáe,Female,1985-12-01,"Kansas City, Kansas, USA"
1269,Kevin Costner,Male,1955-01-18,"Lynwood, California, USA"
205,Kirsten Dunst,Female,1982-04-30,"Point Pleasant, New Jersey, USA"
1925,Vincent Cassel,Male,1966-11-23,"Paris, France"
72270,Souleymane Dicko,Male,1966-08-26,France
1164,F. Murray Abraham,Male,1939-10-24,"Pittsburgh, Pennsylvania, USA"
3999,Tom Hulce,Male,1953-12-06,"Whitewater, Wisconsin, USA"
4000,Elizabeth Berridge,Female,1962-05-02,"Westchester, New York, USA"
4002,Roy Dotrice,Male,1923-05-26,"Guernsey, Channel Islands, UK"
4001,Simon Callow,Male,1949-06-13,"Streatham, London, England, UK"
9087,George O'Brien,Male,1899-04-19,"San Francisco, California, USA"
9088,Janet Gaynor,Female,1906-10-06,"Philadelphia, Pennsylvania, USA"
9089,Margaret Livingston,Female,1895-11-25,"Salt Lake City, Utah, USA"
9090,Bodil Rosing,Female,1877-12-27,"Copenhagen, Denmark"
9091,J. Farrell MacDonald,Male,1875-06-06,"Waterbury, Connecticut, USA"
380,Robert De Niro,Male,1943-08-17,"Greenwich Village, New York City, New York, USA"
3096,John Cazale,Male,1935-08-12,"Boston, Massachusetts, USA"
47879,John Savage,Male,1949-08-25,"Old Bethpage, Long Island, New York, USA"
4690,Christopher Walken,Male,1943-03-31,"Queens, New York USA"
5064,Meryl Streep,Female,1949-06-22,"Summit, New Jersey, USA"
1539216,Ferdia Walsh-Peelo,Male,1999-10-12,"Ashford, County Wicklow, Ireland"
86232,Lucy Boynton,Female,1994-01-17,"London, England, UK"
33394,Maria Doyle Kennedy,Female,1964-09-25,"Clontarf, Dublin, Ireland"
49735,Aidan Gillen,Male,1968-04-24,"Dublin, Ireland"
1007683,Jack Reynor,Male,1992-01-23,"Longmont, Colorado, USA"
1578123,Oulaya Amamra,Female,1996-11-12,"Viry-Châtillon, France"
6968,Hugh Jackman,Male,1968-10-12,"Sydney, New South Wales, Australia"
131,Jake Gyllenhaal,Male,1980-12-19,"Los Angeles, California, USA"
17142,Paul Dano,Male,1984-06-19,"New York City, New York, USA"
49,Maria Bello,Female,1967-04-18,"Norristown, Pennsylvania, USA"
6832,Melissa Leo,Female,1960-09-14,"New York City, New York, USA"
228012,Regina Casé,Female,1954-02-25,"Rio de Janeiro, Rio de Janeiro, Brazil"
120019,Aldo Baglio,Male,1958-09-28,"Palermo, Italy"
120020,Giovanni Storti,Male,1957-02-20,"Milano, Italy"
120025,Giacomo Poretti,Male,1956-04-26,"Villa Cortese, Italy"
7543,Marina Massironi,Female,1963-05-16,"Legnano, Italy"
134,Jamie Foxx,Male,1967-12-13,"Terrell, Texas, USA"
27319,Christoph Waltz,Male,1956-10-04,"Vienna, Austria"
6193,Leonardo DiCaprio,Male,1974-11-11,"Los Angeles, California, USA"
11703,Kerry Washington,Female,1977-01-31,"Bronx, New York, USA"
2231,Samuel L. Jackson,Male,1948-12-21,"Washington, D.C., USA"
10055,Fernanda Montenegro,Female,1929-10-16,"Rio de Janeiro, Rio de Janeiro, Brazil"
10057,Marília Pêra,Female,1943-01-22,"Rio de Janeiro, Rio de Janeiro, Brazil"
10059,Vinícius de Oliveira,Male,1985-07-18,"Rio de Janeiro, Rio de Janeiro, Brazil"
10061,Othon Bastos,Male,1933-05-23,"Tucano, Bahia, Brazil"
10062,Otávio Augusto,Male,1945-01-30,"São Manuel, São Paulo, Brazil"
39953,Jean Martin,Male,1922-03-06,"Paris, France"
204419,Tommy Snider,Male,1984-03-24,"Tacoma, Washington, USA"
176035,Kirk Baily,Male,1963-02-02,"New York City, New York, USA"
3635,Elizabeth Taylor,Female,1932-02-27,"Hampstead, London, England, UK"
5341,Richard Burton,Male,1925-11-10,"Pontrhydyfen, Wales, UK"
18364,George Segal,Male,1934-02-13,"Great Neck, New York"
18365,Sandy Dennis,Female,1937-04-27,"Hastings, Nebraska, USA"
15135,Alain Delon,Male,1935-11-08,"Sceaux, Seine, France"
27440,François Périer,Male,1919-11-10,"Paris, France"
43814,Nathalie Delon,Female,1941-08-01,"Oujda, Morocco."
43815,Cathy Rosier,Female,1945-01-02,"Fort-de-France, Martinique."
20945,Catherine Jourdan,Female,1948-10-12,"Azay le Rideau, France."
11390,Peter O'Toole,Male,1932-08-02,"Connemara, County Galway, Ireland"
12248,Alec Guinness,Male,1914-04-02,"Marylebone, London, England, UK"
5401,Anthony Quinn,Male,1915-04-21,"Chihuahua, Mexico"
10018,Jack Hawkins,Male,1910-09-14,"Wood Green, London, England, UK"
14242,Jean Servais,Male,1910-09-24,"Antwerp, Belgium"
11937,Carl Möhner,Male,1921-08-11,"Vienna, Austria"
14243,Robert Manuel,Male,1916-09-07,"Paris, France"
14227,Jules Dassin,Male,1911-12-18,"Middletown, Connecticut, USA"
1452046,Lana Condor,Female,1997-05-11,"Cần Thơ, Vietnam"
1253353,Noah Centineo,Male,1996-05-09,"Miami, Florida, USA"
93377,Janel Parrish,Female,1988-10-30,"Oahu, Hawaii, U.S."
1683266,Anna Cathcart,Female,2003-06-16,"Vancouver, British Columbia, Canada"
1350469,Andrew Bachelor,Male,1988-06-26,"Toronto, Canada"
13565,Steve McQueen,Male,1930-03-24,"Beech Grove, IN"
4483,Dustin Hoffman,Male,1937-08-08,"Los Angeles, California, USA"
15666,Victor Jory,Male,1902-11-23,"Dawson City, Yukon Territory, Canada"
14062,Don Gordon,Male,1926-11-13,"Los Angeles, California, USA"
2516,Anthony Zerbe,Male,1936-05-20,"Long Beach, California"
2,Mark Hamill,Male,1951-09-25,"Concord, California, USA"
3,Harrison Ford,Male,1942-07-13,"Chicago, Illinois, USA"
4,Carrie Fisher,Female,1956-10-21,"Beverly Hills, Los Angeles, California, USA"
3799,Billy Dee Williams,Male,1937-04-06,New York City - New York - USA
6,Anthony Daniels,Male,1946-02-21,"Salisbury, Wiltshire, England, UK"
30210,Jean Arthur,Female,1900-10-17,"Plattsburgh, New York, USA"
854,James Stewart,Male,1908-05-20,"Indiana, Pennsylvania, USA"
4113,Claude Rains,Male,1889-11-10,"Clapham, London, England, UK"
30211,Edward Arnold,Male,1890-02-18,"New York City, New York, USA"
30002,Guy Kibbee,Male,1882-03-06,"El Paso, Texas, USA"
2090,Kirk Douglas,Male,1916-12-09,"Amsterdam, New York, USA"
20418,Jan Sterling,Female,1921-04-03,"New York City, New York, USA"
78304,Robert Arthur,Male,1925-06-18,"Aberdeen, Washington, USA"
14975,Porter Hall,Male,1888-09-19,"Cincinnati, Ohio, USA"
71580,Benedict Cumberbatch,Male,1976-07-19,"Hammersmith, London, England, UK"
7060,Martin Freeman,Male,1971-09-08,"Aldershot, Hampshire, England, UK"
1218303,Una Stubbs,Female,1937-05-01,"Hinckley, England"
11278,Rupert Graves,Male,1963-06-30,"Weston-super-Mare, Somerset, England, UK"
34546,Mark Gatiss,Male,1966-10-17,"Sedgefield, Durham, England, UK"
103,Mark Ruffalo,Male,1967-11-22,"Kenosha, Wisconsin, USA"
5374,Jim Parsons,Male,1973-03-24,"Houston, Texas, USA"
66743,Matt Bomer,Male,1977-10-11,"Webster Groves, Missouri, USA"
1204,Julia Roberts,Female,1967-10-28,آمریگا، جورجیا،  اسمیرنا
221611,Jonathan Groff,Male,1985-03-26,"Lancaster, Pennsylvania, USA"
1205,Richard Gere,Male,1949-08-31,"Philadelphia, Pennsylvania, USA"
11148,Joan Allen,Female,1956-08-20,"Rochelle, Illinois, USA"
1206,Jason Alexander,Male,1959-09-23,Newark - New Jersey - USA
11398,Cary-Hiroyuki Tagawa,Male,1950-09-27,"Tokyo, Japan"
20376,Sarah Roemer,Female,1984-08-28,"San Diego, California, USA"
66957,Nahuel Pérez Biscayart,Male,1986-03-06,"Buenos Aires, Argentina"
1795151,Arnaud Valois,Male,1984-02-29,"Lione, Francia"
68816,Adèle Haenel,Female,1989-01-01,"Paris, France"
2638,Cary Grant,Male,1904-01-18,"Horfield, Bristol, England, UK"
2639,Eva Marie Saint,Female,1924-07-04,"Newark, New Jersey, USA"
2091,James Mason,Male,1909-05-15,"Huddersfield, Yorkshire, England, UK"
2641,Martin Landau,Male,1928-06-20,"Brooklyn, New York, USA"
2642,Leo G. Carroll,Male,1892-10-25,"Weedon, Northamptonshire, England, U.K."
190,Clint Eastwood,Male,1930-05-31,"San Francisco, California, USA"
4078,Lee Van Cleef,Male,1925-01-09,"Somerville, New Jersey, U.S."
14276,Gian Maria Volonté,Male,1933-04-09,"Milan, Italy"
14277,Klaus Kinski,Male,1926-10-18,"Zoppot, Free City of Danzig [now Sopot, Pomorskie, Poland]"
12266,Simone Signoret,Female,1921-03-25,"Wiesbaden, Germany"
12267,Paul Meurisse,Male,1912-12-21,"Dunkerque, Nord, Nord-Pas-de-Calais, France"
2566,Charles Vanel,Male,1892-08-21,"Rennes, Ille-et-Vilaine, France"
12268,Jean Brochard,Male,1893-03-12,"Nantes, Loire-Atlantique, Pays-de-la-Loire, France"
56322,Amy Poehler,Female,1971-09-16,Newton - Massachusetts - USA
169200,Phyllis Smith,Female,1951-07-10,"Lemay, Missouri, USA"
21125,Richard Kind,Male,1956-11-22,"North Trenton, New Jersey, USA"
19278,Bill Hader,Male,1978-06-07,"Tulsa, Oklahoma, USA"
59258,Lewis Black,Male,1948-08-30,"Silver Spring, Maryland, U.S.A."
670,Ben Burtt,Male,1948-07-12,"New York, USA"
60074,Jeff Garlin,Male,1962-06-05,Chicago - Illinois - USA
20753,Fred Willard,Male,1939-09-18,Shaker Heights - Ohio - USA
52763,Aamir Khan,Male,1965-03-14,"Mumbai, Maharashtra, India"
110,Viggo Mortensen,Male,1958-10-20,"Manhattan, New York City, New York, USA"
146750,George MacKay,Male,1992-03-13,"Hammersmith, London, England, UK"
1261400,Samantha Isler,Female,1998-10-25,"Tulsa, Oklahoma, U.S."
1024722,Annalise Basso,Female,1998-12-02,"St. Louis, Missouri, USA"
1504947,Nicholas Hamilton,Male,2000-05-04,"Lismore, New South Wales, Australia"
643,巩俐,Female,1965-12-31,中华人民共和国辽宁省沈阳市
64988,Cao Cuifen,Female,1944-04-06,"Shanghai, China"
123739,Lily Franky,Male,1963-11-04,"Fukuoka, Japan"
100766,Sakura Ando,Female,1986-02-18,"Tokyo, Giappone"
1130611,Mayu Matsuoka,Female,1995-02-16,"Tokyo, Giappone"
6856,Kurt Russell,Male,1951-03-17,"Springfield, Massachusetts, USA"
65827,Keith David,Male,1956-06-04,"Harlem, New York, USA"
11065,Wilford Brimley,Male,1934-09-27,"Salt Lake City, Utah, USA"
15417,Donald Moffat,Male,1930-12-26,"Plymouth, Devon, England, UK"
15413,Richard Dysart,Male,1929-03-30,"Boston, Massachusetts, USA"
31070,Ryan O'Neal,Male,1941-04-20,"Los Angeles, California, USA"
31071,Marisa Berenson,Female,1947-02-15,"New York City, New York, USA"
2264,Patrick Magee,Male,1922-03-31,"Armagh, Northern Ireland, UK"
37777,Hardy Krüger,Male,1928-04-12,Berlin - Germany
22703,Diana Körner,Female,1944-09-24,"Wolmirsleben, Germany"
2201,Max von Sydow,Male,1929-04-10,"Lund, Skåne län, Sweden"
70359,Birgitta Valberg,Female,1916-12-16,"Stockholm, Stockholms lan, Sweden"
6662,Gunnel Lindblom,Female,1931-12-18,"Gothenburg, Sweden"
48574,Axel Düberg,Male,1927-10-17,"Stockholm, Stockholms län, Sweden"
3061,Ewan McGregor,Male,1971-03-31,"Perth, Scotland, UK"
1125,Ewen Bremner,Male,1972-01-23,"Edinburgh, Scotland, UK"
9012,Jonny Lee Miller,Male,1972-11-15,"Kingston upon Thames, Surrey, England, UK"
18023,Robert Carlyle,Male,1961-04-14,"Glasgow, Scotland, UK"
9015,Kelly Macdonald,Female,1976-02-23,"Glasgow, Scotland, UK"
10297,Matthew McConaughey,Male,1969-11-04,"Uvalde, Texas, USA"
9278,Jennifer Garner,Female,1972-04-17,"Houston, Texas, USA"
7499,Jared Leto,Male,1971-12-26,"Bossier City, Louisiana, USA"
81681,Denis O'Hare,Male,1962-01-17,"Kansas City, Missouri, USA"
18324,Steve Zahn,Male,1967-11-13,"Marshall, Minnesota, USA"
15397,Lino Ventura,Male,1919-07-14,"Parma, Emilia-Romagna, Italy"
12267,Paul Meurisse,Male,1912-12-21,"Dunkerque, Nord, Nord-Pas-de-Calais, France"
19162,Jean-Pierre Cassel,Male,1932-10-27,"Paris, France"
12266,Simone Signoret,Female,1921-03-25,"Wiesbaden, Germany"
35003,Paul Crauchet,Male,1920-07-14,"Béziers, France"
380,Robert De Niro,Male,1943-08-17,"Greenwich Village, New York City, New York, USA"
4430,Sharon Stone,Female,1958-03-10,"Meadville, Pennsylvania, USA"
4517,Joe Pesci,Male,1943-02-09,"Newark, New Jersey, USA"
4512,James Woods,Male,1947-04-18,"Vernal, Utah, USA"
7167,Don Rickles,Male,1926-05-08,"Queens, New York, U.S."
6450,Faye Dunaway,Female,1941-01-14,"Bascom, Florida, USA"
8252,William Holden,Male,1918-04-17,"O'Fallon, Illinois, USA"
29903,Peter Finch,Male,1916-09-28,"South Kensington, London, England"
3087,Robert Duvall,Male,1931-01-05,"San Diego, California, USA"
66712,Wesley Addy,Male,1913-08-04,"Omaha, Nebraska, U.S."
13848,Charlie Chaplin,Male,1889-04-16,"Walworth, London, England, UK"
14434,Georgia Hale,Female,1905-06-24,"St. Joseph, Missouri, U.S."
14435,Mack Swain,Male,1876-02-16,"Salt Lake City, Utah, USA"
14437,Tom Murray,Male,1874-09-08,"Stonefort, Illinois, United States"
14438,Henry Bergman,Male,1868-02-23,"San Francisco, California, USA"
4958,Henry Fonda,Male,1905-05-16,"Grand Island, Nebraska, USA"
8515,Jane Darwell,Female,1879-10-15,"Palmyra, Missouri, USA"
8516,John Carradine,Male,1906-02-05,"New York City, New York, USA"
8517,Charley Grapewin,Male,1869-12-20,"Xenia, Ohio, USA"
7450,Toshirō Mifune,Male,1920-04-01,"Tsingtao, China (now Qingdao, Shandong, China)"
33761,Isuzu Yamada,Female,1917-02-05,"Osaka, Japan"
30469,Akira Kubo,Male,1936-12-01,"Tokyo, Japan"
7453,Takashi Shimura,Male,1905-03-12,"Ikuno, Hyogo, Japan"
7454,Minoru Chiaki,Male,1917-07-30,"Hokkaido, Japan (some sources say 28 April 1917)"
6193,Leonardo DiCaprio,Male,1974-11-11,"Los Angeles, California, USA"
21007,Jonah Hill,Male,1983-12-20,"Los Angeles, California, USA"
234352,Margot Robbie,Female,1990-07-02,"Gold Coast, Queensland, Australia"
3497,Kyle Chandler,Male,1965-09-17,"Buffalo, New York, USA"
3026,Rob Reiner,Male,1947-03-06,"The Bronx, New York, USA"
7499,Jared Leto,Male,1971-12-26,"Bossier City, Louisiana, USA"
98,Sarah Polley,Female,1979-01-08,"Toronto, Ontario, Canada"
9824,Diane Kruger,Female,1976-07-15,"Algermissen, Germany"
19115,Linh Đan Phạm,Female,1974-01-01,"Saigon, Vietnam"
7026,Rhys Ifans,Male,1967-07-22,"Haverfordwest, Pembrokeshire, Wales, UK"
16896,James Garner,Male,1928-04-07,"Norman, Oklahoma, USA"
9221,Donald Pleasence,Male,1919-10-05,"Worksop, Nottinghamshire, England, UK"
13565,Steve McQueen,Male,1930-03-24,"Beech Grove, IN"
4786,Richard Attenborough,Male,1923-08-29,"Cambridge, Cambridgeshire, England, UK"
12250,James Donald,Male,1917-05-18,"Aberdeen, Aberdeenshire, Scotland, UK"
5294,Chiwetel Ejiofor,Male,1977-07-10,"Forest Gate, London, UK"
17288,Michael Fassbender,Male,1977-04-02,"Heidelberg, Baden-Wurttemburg, Germany"
1267329,Lupita Nyong'o,Female,1983-03-01,Mexico City - Mexico
71580,Benedict Cumberbatch,Male,1976-07-19,"Hammersmith, London, England, UK"
17142,Paul Dano,Male,1984-06-19,"New York City, New York, USA"
37632,Eddie Redmayne,Male,1982-01-06,"London, England, UK"
72855,Felicity Jones,Female,1983-10-17,"Birmingham, West Midlands, England, UK"
23458,Charlie Cox,Male,1982-12-15,"London, England, UK"
16358,Simon McBurney,Male,1957-08-25,Cambridge - Cambridgeshire - England - UK
973,Jason Flemyng,Male,1966-09-25,"Putney, London, England, UK"
974,Dexter Fletcher,Male,1966-01-31,"North London, England, UK"
975,Nick Moran,Male,1969-12-23,"East End, London, England, UK"
976,Jason Statham,Male,1967-07-26,"Shirebrook, Derbyshire, England, UK"
980,Vinnie Jones,Male,1965-01-05,Watford - Hertfordshire - England - UK
23891,Ryan Kelley,Male,1986-08-31,"Glen Ellyn, Illinois, USA"
10205,Sigourney Weaver,Female,1949-10-08,"Manhattan, New York City, New York, USA"
15319,Henry Czerny,Male,1959-02-08,"Toronto, Ontario, Canada"
76470,Dan Butler,Male,1954-12-02,"Huntington, Indiana, USA"
6069,Austin Nichols,Male,1980-04-24,Ann Arbor - Michigan - USA
235332,Miyoko Shoji,Male,1936-07-12,"Tokyo Prefecture, Japan"
1680,Mami Koyama,Female,1955-01-17,"Nishio, Aichi Prefecture, Japan"
23988,Fumiko Orikasa,Female,1974-12-27,"Taito, Tokyo, Japan"
39195,Elsa Zylberstein,Female,1968-10-16,"Paris, France"
28781,Christian Clavier,Male,1952-05-06,"Paris, France"
3,Harrison Ford,Male,1942-07-13,"Chicago, Illinois, USA"
585,Rutger Hauer,Male,1944-01-23,"Breukelen, Utrecht, Netherlands"
586,Sean Young,Female,1959-11-20,"Louisville, Kentucky, USA"
587,Edward James Olmos,Male,1947-02-24,"Los Angeles, California, U.S."
588,M. Emmet Walsh,Male,1935-03-22,"Ogdensburg, New York, USA"
24366,Philippe Noiret,Male,1930-10-01,"Lille, Nord, France"
10777,Maria Grazia Cucinotta,Female,1968-07-27,"Messina, Sicily, Italy"
14149,Renato Scarpa,Male,1939-01-01,Milan - Lombardy - Italy
5401,Anthony Quinn,Male,1915-04-21,"Chihuahua, Mexico"
